IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
15.222.4.146,443,0,false,ORD,North America,Chicago,336,0.00
13.51.14.7,80,0,false,ARN,Europe,Stockholm,199,0.00
16.16.162.196,80,0,false,ARN,Europe,Stockholm,195,0.00
13.58.142.1,80,0,false,ORD,North America,Chicago,227,0.00
13.245.109.216,2087,0,false,ORD,North America,Chicago,307,0.00
13.244.104.215,2095,0,false,ORD,North America,Chicago,313,0.00
13.245.164.198,2087,0,false,ORD,North America,Chicago,313,0.00
3.96.203.46,8080,0,false,ORD,North America,Chicago,245,0.00
13.244.151.170,2052,0,false,ORD,North America,Chicago,313,0.00
13.246.221.196,8880,0,false,ORD,North America,Chicago,315,0.00
13.246.38.192,443,0,false,ORD,North America,Chicago,315,0.00
13.245.117.201,2053,0,false,ORD,North America,Chicago,315,0.00
13.244.151.170,8080,0,false,ORD,North America,Chicago,316,0.00
13.246.240.4,2086,0,false,ORD,North America,Chicago,311,0.00
15.156.207.201,80,0,false,ORD,North America,Chicago,319,0.00
13.244.119.155,2083,0,false,ORD,North America,Chicago,311,0.00
13.245.207.52,2096,0,false,ORD,North America,Chicago,316,0.00
13.244.119.155,2053,0,false,ORD,North America,Chicago,313,0.00
13.245.255.173,443,0,false,ORD,North America,Chicago,313,0.00
13.244.112.246,2082,0,false,ORD,North America,Chicago,315,0.00
13.244.112.246,2087,0,false,ORD,North America,Chicago,311,0.00
13.245.109.216,443,0,false,ORD,North America,Chicago,305,0.00
13.244.112.246,2086,0,false,ORD,North America,Chicago,313,0.00
13.247.96.139,2052,0,false,ORD,North America,Chicago,315,0.00
3.99.187.248,2095,0,false,ORD,North America,Chicago,245,0.00
13.244.109.174,2052,0,false,ORD,North America,Chicago,313,0.00
13.246.221.196,2053,0,false,ORD,North America,Chicago,317,0.00
13.247.61.12,80,0,false,ORD,North America,Chicago,307,0.00
13.244.104.215,2087,0,false,ORD,North America,Chicago,315,0.00
13.244.112.246,8080,0,false,ORD,North America,Chicago,315,0.00
13.247.67.27,8080,0,false,ORD,North America,Chicago,313,0.00
13.247.61.197,2083,0,false,ORD,North America,Chicago,311,0.00
15.223.118.218,8080,0,false,ORD,North America,Chicago,250,0.00
13.245.28.205,2096,0,false,ORD,North America,Chicago,317,0.00
13.245.109.216,2053,0,false,ORD,North America,Chicago,313,0.00
13.245.117.201,2052,0,false,ORD,North America,Chicago,313,0.00
13.245.164.198,2083,0,false,ORD,North America,Chicago,311,0.00
13.245.109.232,2095,0,false,ORD,North America,Chicago,309,0.00
13.244.98.139,8443,0,false,ORD,North America,Chicago,309,0.00
13.247.96.139,2083,0,false,ORD,North America,Chicago,314,0.00
13.244.109.174,2082,0,false,ORD,North America,Chicago,314,0.00
13.244.119.155,2087,0,false,ORD,North America,Chicago,311,0.00
13.245.28.205,2095,0,false,ORD,North America,Chicago,313,0.00
13.246.201.148,8080,0,false,ORD,North America,Chicago,313,0.00
13.244.104.215,2082,0,false,ORD,North America,Chicago,311,0.00
13.247.62.71,2083,0,false,ORD,North America,Chicago,311,0.00
13.247.96.139,8880,0,false,ORD,North America,Chicago,317,0.00
